	en	fr	es
about_3	For any feedback (bugs, enhancement, suggestions) please email us at <a href="mailto:invid-verification-plugin@iti.gr">invid-verification-plugin@iti.gr</a>, or leave us a direct message through the feedback widget at the bottom left. If you use our plugin regularly, thanks to give us your feedback through the permanent survey in the top right menu :  <img src="img/survey_img_en.png" class="icon" style="vertical-align: text-top;">	Pour tout retour (problèmes, améliorations, suggestions), merci de nous envoyer un mail à <a href="mailto:invid-verification-plugin@iti.gr">invid-verification-plugin@iti.gr</a>, ou de nous laisser un message via le bouton "feedback" en bas à gauche. Si vous utilisez notre extension régulièrement, merci de nous envoyer vos retours en remplissant le questionnaire présent dans le menu en haut à droite :  <img src="img/survey_img_fr.png" class="icon" style="vertical-align: text-top;">	Para cualquier comentario (errores, mejoras, sugerencias) por favor envíenos un correo electrónico a <a href="mailto:invid-verification-plugin@iti.gr">invid-verification-plugin@iti.gr</a>, o déjenos un mensaje directo a través del widget de comentarios en la parte inferior izquierda. Si usted usa nuestro plugin regularmente, gracias por darnos su opinión a través de la encuesta permanente en el menú superior derecho:  <img src="img/survey_img_en.png" class="icon" style="vertical-align: text-top;">
about_4	<strong>Disclaimer:</strong> this software is provided "as is", without warranty of any kind, express or implied, including but not limited to the warranties of merchantability, fitness for a particular purpose and noninfringement. In no event shall the authors or copyright holders be liable for any claim, damages or other liability, whether in an action of contract, tort or otherwise, arising from, out of or in connection with the software or the use or other dealings in the software.	<strong>Avertissement:</strong> ce logiciel est fourni tel quel, sans aucune garantie explicite ou implicite, y compris mais non limité à sa qualité marchande, sa robustesse et toute garantie d'absence de contrefaçon. En aucun cas, les auteurs ou détenteurs du copyright ne sont responsables pour toute réclamation, dommages ou autre responsabilité, en lien avec ce logiciel ou son utilisation.	<strong>Descarga de responsabilidad:</strong> Este software se proporciona "tal cual", sin garantía de ningún tipo, expresa o implícita, incluyendo pero no limitándose a las garantías de comerciabilidad, idoneidad para un propósito particular y no infracción. En ningún caso los autores o titulares de los derechos de autor serán responsables de ninguna reclamación, daño u otra responsabilidad, ya sea en una acción contractual, extracontractual o de otro tipo, que surja de o en relación con el software o el uso u otras transacciones en el software.
about_5	<strong>Privacy:</strong> this plugin does not gather any personal data. We implemented Google analytics only to get feedback and statistics about the tool usage, in order to improve the next releases.	<strong>Sécurité:</strong> cette extension n'utilise pas vos données personnelles. Les données récupérées via Google Analytics sont anonymisées et ne servent qu'à obtenir des statistiques d'usage sur l'utilisation de l'extension, dans le but d'améliorer les prochaines versions.	<strong>Privacidad:</strong> este plugin no recoge ningún dato personal. Implementamos Google Analytics sólo para obtener estadísticas sobre el uso de la herramienta, con el fin de mejorar las próximas versiones.
about_6	InVID is a Horizon 2020 innovation action funded by the European Union under grant agreement 687786. For more information, visit our <a href="http://www.invid-project.eu/" target="_blank">InVID website</a> or follow us on <a href="https://twitter.com/InVID_EU" target="_blank">Twitter</a>.	InVID est un projet financé par le programme Horizon 2020 de l'Union Européenne, sous l'accord de subvention 687786. Pour plus d'information sur le projet, visitez le <a href="http://www.invid-project.eu/" target="_blank"> site InVID</a> ou suivez-nous sur <a href="https://twitter.com/InVID_EU" target="_blank">Twitter</a>.	InVID es una acción de innovación financiada por el programa cuadro Horizonte 2020 de la Unión Europea bajo el acuerdo de subvención 687786. Para más información, visite nuestra página web <a href="http://www.invid-project.eu/" target="_blank">InVID website</a> o síganos en <a href="https://twitter.com/InVID_EU" target="_blank">Twitter</a>.
about_7	The initial versions (0.1-0.6) of this plugin have been developed by <a href="https://www.afp.com/en/medialab/" target="_blank">AFP Medialab</a> (Denis TEYSSOU, Jean-Michel LEUNG, Nathan GOYAT, Bertrand GOUPIL, Axel VIGNY). The underlying services are provided by <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute</a> (ITI, CERTH).	Les premières versions (0.1-0.6) de cette extension ont été développées par le <a href="https://www.afp.com/medialab/" target="_blank">Medialab de l'AFP</a> (Denis TEYSSOU, Jean-Michel LEUNG, Nathan GOYAT, Bertrand GOUPIL, Axel VIGNY). Les services sous-jacents sont fournis par <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute</a> (ITI, CERTH).	Las primeras versiones (0.1-0.6) de esta extensión han sido desarrolladas por el <a href="https://www.afp.com/medialab/" target="_blank">Medialab de AFP</a> (Denis TEYSSOU, Jean-Michel LEUNG, Nathan GOYAT, Bertrand GOUPIL, Axel VIGNY). Los servicios sub-yacentes son prestados por <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute</a> (ITI, CERTH).
about_human_rights	For Human Rights defenders	Pour les défenseurs des Droits de l'Homme	Para los defensores de los Derechos Humanos
tuto_title	Tutorial	Tutoriel	Tutorial
tuto_h_1	Access menu	Menu Popup	Menú de accesso
tuto_h_2	Plugin main features	Principales fonctionnalités de l'extension	Principales funciones de la extensión
tuto_1	This launcher (introduced in v0.60) to access the InVID plugin aims to help journalists (and users) to retrieve videos and images urls within the code of a web page:	Ce menu intermédiaire (introduit dans la v0.60) pour accéder à l'outil InVID vise à aider les journalistes (et utilisateurs) à récupérer les liens des images et vidéos à l'intérieur du code d'une page web:	Este menú iniciador (introducido en la v0.60) para acceder a la extensión tiene como objetivo ayudar a los periodistas (y a los usuarios) a recuperar los enlaces de las imágenes y videos dentro del código de una página web:
tuto_2	<li><strong>Open InVID</strong> launches the plugin</li><li><strong>Video Urls</strong> displays the url of a video present on a web page</li><li><strong>Image Urls</strong> displays the url of an image present on a web page</li>	<li><strong>Open InVID</strong> ouvre l'extension InVID</li><li><strong>Video Urls</strong> affiche les urls des vidéos présentes dans la page web</li><li><strong>Image Urls</strong> affiche les urls des images présentes dans la page web</li>	<li><strong>Open InVID</strong> lanza el plugin</li><li><strong>Video Urls</strong> muestra la url de un vídeo presente en una página web </li><li><strong>Image Urls</strong> muestra la url de una imagen presente en una página web </li>
tuto_3	Here, below, is an example of a video url retrieval on Instagram.	En dessous se trouve un exemple de la récupération d'urls vidéo sur Instagram.	A continuación se muestra un ejemplo de recuperación de una url de vídeo en Instagram.
tuto_4	The first <strong>Analysis tab</strong> allows you to query the InVID context aggregation and analysis service developed by the <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute</a> (ITI). In a nutshell, this service is an enhanced metadata viewer for Youtube, Facebook and Twitter videos that allows you to retrieve contextual information, location (if detected), most interesting comments, apply reverse image search and check for tweets on the video (on Youtube). Be aware that the service may take some time if the video processed has a lot of comments. A new feature (a reprocess button) allows you to refresh the analysis.	Le premier onglet <strong>Analyse</strong>  vous permet d'effectuer des requêtes sur le service aggregation et analyse d'InVID développé par <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute</a> En simplifié, ce service est un visonneur de métadonnées amélioré pour les vidéo Youtube , Facebook et Twitter, qui vous permet de récupérer les informations contextuelles, localisations (si détecté), la plupart des commentaires intéressants, d'appliquer la recherche d'image inversée et de vérifier les tweets correspondants à la vidéo (pour Youtube). Soyez conscient que le service peut prendre du temps si la vidéo possède beaucoup de commentaires. Une nouvelle fonction (le bouton reprocess) vous permet de rafraichir l'analyse.	La primera pestaña <strong>Análisis</strong> permite consultar el servicio de agregación y análisis de contexto InVID desarrollado por el <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute</a> (ITI). En pocas palabras, este servicio es un visor de metadatos mejorado para vídeos de Youtube, Facebook y Twitter que le permite recuperar información contextual, ubicación (si se detecta), comentarios más interesantes, aplicar la búsqueda inversa de imágenes y comprobar si hay tweets en el vídeo (en YouTube). Tenga en cuenta que el servicio puede tardar algún tiempo si el vídeo procesado tiene muchos comentarios. Una nueva característica (un botón de reprocesamiento) le permite actualizar el análisis.
tuto_5	The second <strong>Keyframe tab</strong> is an iframe opening the website of <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute (ITI) </a> on video fragmentation. It allows you to copy a video url (from Youtube, Twitter, Facebook, Daily Motion or Dropbox) or to upload a video file (in mp4, webm, avi, mov, wmv, ogv, mpg, flv, and mkv format) in order to segment it in keyframes which then can be searched with a right click on Google, Yandex, Tineye and Baidu images. Our service extracts more keyframes and therefore gives the opportunity to enhance the video reverse image search. Those are the real keyframes of the video, not the thumbnails served by Youtube or Facebook.	Le second onglet <strong>Images clés</strong> est une iframe contenant le site de <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute (ITI) </a> sur la fragmentation vidéo. Il vous permet en copiant une adresse vidéo (Youtube, Twitter, Facebook, Daily Motion, Instagram or Dropbox) ou en téléchargeant un fichier vidéo (mp4, webm, avi, mov, wmv, ogv, mpg, fly, ou mkv) de le fragmenter en images clés qui peuvent être ensuite recherchées avec un clic droit sur Google, Yandex, Tineye ou Baidu image. Notre service peut extraire davantage d'images clés et donc vous donne l'opportunité d'élargir votre recherche inversée d'image. Ces images viennent de la vidéo elle-même, non des imagettes fournies par la plateforme vidéo.	La segunda pestaña <strong>Imágenes claves</strong> le permite copiar una url de vídeo (de Youtube, Twitter, Facebook, Daily Motion o Dropbox) para segmentarlo en fotogramas clave que luego se pueden buscar con un clic derecho en Google, Yandex, Tineye, Baidu, Bing o Karma Decay (Reddit). Nuestro servicio extrae más fotogramas clave y, por lo tanto, ofrece la oportunidad de mejorar la búsqueda de imágenes inversas de vídeo. Esos son los fotogramas clave reales del vídeo, no las miniaturas servidas por Youtube, Twitter o Facebook. También pueden subir un archivo de vídeo (en formato mp4, webm, avi, mov, wmv, ogv, mpg, flv, y mkv) usando el botón fichero local y aparecerá el sitio web de <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute (ITI) </a> sobre fragmentación de vídeo en un iframe.
tuto_6	The <strong>Thumbnails tab</strong> allows you to quickly trigger a reverse image search on Google, Bing, Tineye or Yandex Images with the four thumbnails extracted from a Youtube video. Up to four tabs (according to the number of thumbnails available) are opened automatically in your browser with the results of the reverse search while the four thumbnails are also displayed in the plugin page. This tab is somewhat redundant with what can be done with the <strong>Analysis tab</strong> but it is very fast and efficient if you just need to look whether a Youtube video has already been published previously. Please note that the Chinese search engine Baidu is not implemented here because it is filtering out Youtube content.	L'onglet <strong>Imagettes</strong>  vous permet de faire rapidement une recherche d'image inversée sur Google, Bing, Yandex ou Tineye avec les quatre imagettes fournies par Youtube sur ces vidéos. Jusqu'à quatre onglets (selon le nombre de imagettes disponibles) sont ouverts automatiquement dans votre navigateur avec les résultats de la recherche inversée pendant que les imagettes sont également affichées dans l'extension. Cet onglet est quelque peu redondant avec ce qui peut être fait dans l'onglet Analyse mais il est plus rapide et efficace si vous avez juste besoin de regarder si une vidéo de Youtube a déjà été publiée précédemment. Noter que la recherche avec le moteur Baidu n'est pas configurée dans cet onglet car ce moteur chinois filtre le contenu de Youtube.	La pestaña <strong>Miniaturas</strong> le permite activar rápidamente una búsqueda inversa de imágenes en Google, Bing, Tineye o Yandex Images con las cuatro miniaturas extraídas de un vídeo de YouTube. Se abren automáticamente hasta cuatro pestañas (según el número de miniaturas disponibles) en su navegador con los resultados de la búsqueda inversa, mientras que las cuatro miniaturas también se muestran en la página del plugin. Esta pestaña es algo redundante con lo que se puede hacer con la pestaña <strong>Análisis</strong> pero es muy rápida y eficiente si sólo necesitas ver si un vídeo de Youtube ya ha sido publicado anteriormente. Tenga en cuenta que el motor de búsqueda chino Baidu no está implementado aquí porque está filtrando el contenido de YouTube.
tuto_7	The <strong>Search tab</strong> allows to enhance a Twitter advanced search for keywords or hashtag using the since and until operators, either separately or together to query within a time interval, up to the minute. It translates automatically the calendar date, hour and minutes into an unix timestamp to facilitate the query, e.g. of first eyewitness pictures or videos within a time range just after a breaking news event. We have also added other features from Twitter advanced such geocode, near, from, language and various filter operators.	L'onglet <strong>Recherche Tw</strong> vous permet d'améliorer votre recherche avancée sur Twitter par mot clé ou hashtag en utilisant les opérateurs depuis et jusqu'à, de manière séparée ou ensemble, pour effectuer des requêtes precises jusqu'à un intervalle d'une minute. Il traduit automatiquement les dates calendaires, heures et minutes en unités de temps Unix pour faciliter l'écriture de la requête, par exemple recherche les premiers témoignages photos ou vidéos lors d'un évènement important. Nous avons également ajouté d'autres filtres, comme les coordonnées de géolocalisation, la provenance, le compte Twitter, la langue...	La pestaña <strong>Buscar</strong> permite mejorar una búsqueda avanzada en Twitter de palabras clave o hashtag usando el desde y hasta que los operadores, ya sea por separado o en conjunto para consultar dentro de un intervalo de tiempo, hasta el minuto. Convierte automáticamente la fecha del calendario, la hora y los minutos en una marca de tiempo unix para facilitar la consulta, por ejemplo, de las imágenes o vídeos de los primeros testigos oculares dentro de un intervalo de tiempo justo después de un evento de noticias de última hora. También hemos añadido otras características de Twitter avanzadas como geocode, near, from, language y varios operadores de filtros.
tuto_8	The <strong>Magnifier lens tab</strong> allows you to display an image through its url and to zoom or apply a magnifying lens on the image, or/and to enhance it through a bicubic algorithm to help you discover implicit knowledge such as written words, signs, banners ... You can either enter the image url, upload an image from your local drive with the local file button. Once the image is displayed from an url, you can also perform a Google, Yandex, Tineye and Baidu reverse image search on it or use the Image forensic service designed by ITI and DW in the <a href="https://revealproject.eu/" target="_blank">Reveal european project</a>. If you are using a local image or you have modified any image (sharp, flip, bicubic), you can either download your modified image or, if using the flip function, use the Google images button which opens a new tab where you can directly copy and paste the image into the Google images searchbox (watch the video below). This Magnifier lens feature also supports links of stored images in Dropbox and Google drive.	L'onglet <strong>Loupe</strong> vous permet d'afficher une image partir de son url et de zoomer ou d'utiliser une loupe sur l'image pour aider à découvrir des éléments dans l'image comme du texte, des signes, pancartes... Vous pouvez aussi agrandir l'image grâce à un algorithme bicubic. Pour utiliser cette fonctionnalité, vous pouvez soit entrer l'adresse de l'image, soit charger une image depuis votre ordinateur grâce au bouton fichier local. Quand l'image est fournie depuis une adresse en ligne, vous pouvez également effectuer une recherche d'image inversée avec Google, Yandex, Tineye ou Baidu sur l'image ou utiliser le service Forensic créé par ITI et DW dans le <a href="https://revealproject.eu/" target="_blank">projet européen Reveal</a>. Si vous utilisez une image locale, ou si vous avez utilisé un filtre, vous pouvez soit télécharger l'image résultante, ou dans le cas du Miroir utiliser le bouton Google image qui s'ouvre dans un nouvel onglet de votre navigateur (voir la vidéo en dessous). Cette fonctionnalité de Loupe supporte également les liens d'images stockées sous Dropbox et Google Drive.	La pestaña <strong>Lupa </strong> le permite mostrar una imagen a través de su url y hacer zoom o aplicar una lente de aumento a la imagen, y/o mejorarla a través de un algoritmo bicúbico para ayudarle a descubrir el conocimiento implícito como palabras escritas, signos, banners.... Puede introducir la url de la imagen, subir una imagen desde su disco local con el botón de archivo local. Una vez que la imagen se muestra desde una url, también puede realizar una búsqueda inversa de imágenes en Google, Yandex, Tineye y Baidu o utilizar el servicio forense de imágenes. Si utiliza una imagen local o ha modificado cualquier imagen (nítida, volteada, bicúbica), puede descargar la imagen modificada o, si utiliza la función voltear, utilizar el botón Imágenes de Google, que abre una nueva pestaña en la que puede copiar y pegar directamente la imagen en el cuadro de búsqueda de imágenes de Google (vea el vídeo que aparece a continuación). Esta función de lente de aumento también admite enlaces de imágenes almacenadas en Dropbox y en la unidad de Google.
tuto_9	The <strong>Metadata tab</strong> allows you to check the Exif metadata of a picture in jpeg format or metadata of a vidéo in mp4/m4v format, either through a link either through a local file. If geocoordinates are available in the picture metadata, a geolocalise button is provided automatically pointing to this location on Google map.	L'onglet <strong>Métadonnées</strong> vous permet de vérifier les métadonnées Exif d'une image au format Jpeg ou les métadonnées d'une vidéo au format mp4/m4v, soit par l'adresse en ligne (url) soit en la chargeant depuis un fichier local. Si des coordonées sont trouvées dans les métadonnées de l'image, un bouton de géolocalisation apparait renvoyant vers la carte Google Map correspondante.	La pestaña <strong>Metadatos</strong> permite comprobar los metadatos Exif de una imagen en formato jpeg o los metadatos de un vídeo en formato mp4/m4v, ya sea a través de un enlace o a través de un archivo local. Si las coordenadas geográficas están disponibles en los metadatos de imagen, se proporciona un botón de geolocalización que apunta automáticamente a esta ubicación en el mapa de Google.
tuto_10	The <strong>Video Rights</strong> tab provides access to the InVID Rights Management application. This service gets a link to a YouTube, Facebook or Twitter video and retrieves metadata about its rights, unless access is restricted by the content uploader or the social network. First of all it provides the user with a summary of the reuse conditions, as defined by the social network the video is published in. If other reuses are intended, it is recommended to contact the content uploader. This can be done directly or under the guidance of the <a href="https://rights.invid.udl.cat/" target="_blank">InVID Rights Management Tool</a>. The latter facilitates contacting the uploader, confirming authorship, or managing the negotiation of the reuse conditions. Alternatively, the Video Rights tab includes information about copyright exceptions if it is not possible to get consent from the author, as the use by the press exception or fair use/fair dealing.	L'onglet <strong>Droits Vidéo</strong> donne accès à l'application de gestion des droits d'InVID. Ce service permet, à partir du lien d'une vidéo de Youtube, Facebook ou Twitter de récupérer les métadonnées sur ses droits d'utilisation en fonction de la licence, à moins que l'accès ne soit restreint par le réseau social ou le contributeur. Le service fournit d'abord un résumé des conditions de ré-utilisation de la vidéo, tel que défini par le réseau social. Si d'autres utilisations sont envisagées, il est recommandé de contacter la personne qui a mis le contenu sur le réseau social. Ce contact peut être fait directement ou bien via <a href="https://rights.invid.udl.cat/" target="_blank">l'outil InVID de gestion de droits</a>. Ce dernier facilite le contact avec le contributeur, la confirmation de la propriété du contenu, ou la gestion de la négociation pour les conditions de réutilisation. Cette fonctionnalité inclut en outre des informations sur les exceptions au copyright, au cas où il ne serait pas possible d'obtenir le consentement de l'auteur, comme l'utilisation dans un contexte journalistique ou l'utilisation loyale ("fair use").	La pestaña <strong>Derechos Video</strong> proporciona acceso a la aplicación InVID Rights Management. Este servicio obtiene un enlace a un vídeo de YouTube, Facebook o Twitter y recupera metadatos sobre sus derechos, a menos que el acceso esté restringido por el cargador de contenido o la red social. En primer lugar, proporciona al usuario un resumen de las condiciones de reutilización, definidas por la red social en la que se publica el vídeo. Si se prevén otros usos, se recomienda ponerse en contacto con el cargador de contenido. Esto se puede hacer directamente o bajo la guía del <a href="https://rights.invid.udl.cat/" target="_blank">InVID Rights Management Tool</a>. Esto último facilita el contacto con el cargador, la confirmación de la autoría o la gestión de la negociación de las condiciones de reutilización. Alternativamente, la pestaña Derechos de vídeo incluye información sobre excepciones a los derechos de autor si no es posible obtener el consentimiento del autor, como el uso por parte de la prensa o el uso legítimo/trato justo.
tuto_11	The <strong>Forensic tab</strong> is an iframe opening the still images forensic service developed by <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute (ITI)</a> in a previous european project on social media verification, <a href="https://revealproject.eu/" target="_blank">Reveal</a>. Eight different filters will help you to detect digital image tampering.	L'onglet <strong>Forensic</strong> est une iframe contenant le service d'imagerie forensic développé par <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute (ITI)</a> dans un projet européen précedent sur la vérification des réseaux sociaux, <a href="https://revealproject.eu/" target="_blank">Reveal</a>. Huit filtres vous aideront à détecter des manipulations de l'image numérique.	La pestañal <strong>Forensic</strong> le permite copiar y pegar una url de imagen en jpg o png y enviarla al servicio de Forensic (detección de alteraciones en el fichero digital). Ocho filtros diferentes le ayudarán a detectar la manipulación de las imágenes digitales. Si desea cargar un archivo de imagen, puede hacer clic en el botón de archivo local y el sitio web del <a href="http://mklab.iti.gr/" target="_blank">Thessaloniki Information Technologies Institute (ITI)</a> aparecerá en un iframe. Este servicio ha sido desarrollado en un proyecto europeo anterior sobre verificación de medios sociales: <a href="https://revealproject.eu/" target="_blank">REVEAL</a>. 
tuto_12	The <strong>Contextual menu</strong> (through a right click on an image or a video url) allows you to trigger this plugin on a still image or on a youtube video link. On an image, a right click will propose you either to open the picture in the Image magnifier to examine it more closely, or to launch reverse image search engines with the image. On a video link, a right click will propose you under the InVID menu to trigger either InVID video analysis or the Youtube thumbnail reverse search (for a Youtube video).	Le <strong>Menu contextuel</strong> (appui sur le clic droit de la souris sur une image, une video ou une adresse vers une image ou video) vous permet d'envoyer directement une image ou une video sur l'extension. Avec une image, vous pourrez ouvrir l'image dans le magnifier ou de lancer une recherche d'image inversée. Sur une vidéo, vous pourrez envoyer la vidéo dans les onglets <strong>Analyse</strong> ou <strong>Youtube imagettes</strong> si elle correspond aux critères de l'onglet souhaité.	El <strong>Menú contextual </strong> (a través de un clic derecho sobre una imagen o una url de vídeo) le permite activar este plugin en una imagen fija o en un enlace de vídeo de YouTube. En una imagen, un clic derecho le propondrá abrir la imagen en el magnificador de imagen para examinarla más de cerca, o bien lanzar motores de búsqueda de imagen inversa con la imagen. En un enlace de vídeo, un clic derecho le propondrá en el menú InVID para activar el análisis de vídeo InVID o la búsqueda inversa de miniaturas en Youtube (para un vídeo de Youtube).
navbar_tools	Tools	Outils	Herramientas
navbar_classroom	Classroom	Salle de cours	Aula
third_parties_title	Third parties tools we love	Autres outils que nous apprécions	Otras herramientas que nos gustan
close	Close	Fermer	Cerrar
display	Display	Afficher	Visualización
remote_resources_title	 Educational Resources	Ressources pédagogiques	Recursos educativos
user_resources_title	 Your educational content	Votre contenu pédagogique	Tu contenido educativo
form_to_display_your_own_lessons	Use this form to display your own lessons	Utilisez ce formulaire pour afficher vos propres leçons	Usa este formulario para mostrar tus propias lecciones
user_resources_intro	This section allows you to broadcast your own lessons stored on Internet	Cette section vous permet de diffuser vos propres cours stockés sur Internet.	Esta sección le permite transmitir sus propios videos de Internet.
user_resources_intro_local	Select a mp4 video on your computer	Sélectionnez une vidéo au format mp4 sur votre ordinateur	Seleccione un video mp4 en su computadora
user_resources_intro_remote	Enter the url of a youtube or facebook video:	Indiquez l'url d'une vidéo youtube ou facebook:	O ingresa la url de un video de youtube o facebook:
menu_cro_tit	CrowdTangle	CrowdTangle	CrowdTangle
menu_cml_tit	CMLA	CMLA	CMLA
menu_cro_dsc	Crowd tangle	Crowd tangle	Crowd tangle
menu_cml_dsc	Cmla	Cmla	Cmla
footer_classroom	Provided by the <a href="https://www.afp.com/fr/lagence/medialab">AFP Medialab</a><br>To contact us, use the feedback tool.	Fourni par le <a href="https://www.afp.com/fr/lagence/medialab">Medialab de l'AFP</a><br>Pour nous contacter, utilisez l'outil de feedback.	Proporcionado por <a href="https://www.afp.com/fr/lagence/medialab">AFP Medialab</a><br>Para ponerse en contacto con nosotros, utilice la herramienta de feedback.
classroom_title	Classroom	Salle de cours	Aula
classroom_title_1	How to verify a video	Vérifier une image par similarité	Analisis forensic de una imagen
classroom_embed_1	<iframe src="https://docs.google.com/presentation/d/e/2PACX-1vSRSuLowKGhmGHa0w5v-e9hl0OH552R5oG7tdJzRFgwsdPYEJnPLJuUQ_hZ0WGu2lWe6evkdgYKLuGp/embed?start=true&loop=true&delayms=3000" frameborder="0" width="960" height="569" allowfullscreen="true" mozallowfullscreen="true" webkitallowfullscreen="true"></iframe>	<iframe src="https://docs.google.com/presentation/d/e/2PACX-1vTK7t7DQm4HJLwxY7nFP08xITqzZZFsWaoe7g9R9o0vH2IpDeqDnYelyfuUuHV9Tk5U6K25wxC869oZ/embed?start=true&loop=true&delayms=5000" frameborder="0" width="960" height="569" allowfullscreen="true" mozallowfullscreen="true" webkitallowfullscreen="true"></iframe>	<iframe src="https://docs.google.com/presentation/d/e/2PACX-1vTt6s8UUG0WwaCF1fuaDZ8tGt5tnP-vXkKgv5tz6lysa3nshFZm4PGr4GD721tgjEKtG7lhHdTU7r2q/embed?start=true&loop=true&delayms=5000" frameborder="0" width="960" height="569" allowfullscreen="true" mozallowfullscreen="true" webkitallowfullscreen="true"></iframe>
classroom_title_2	How to check a video on Facebook (source: France 24)	Comment vérifier une vidéo sur Facebook (source: France 24)	Cómo ver un video en Facebook (fuente: Francia 24)
classroom_embed_2	<blockquote class="twitter-tweet" data-lang="en"><p lang="fr" dir="ltr">INFO ✅ ou INTOX ❌ Vérifier une vidéo sur Facebook, c&#39;est l&#39;un des exercices le plus difficile du <a href="https://twitter.com/hashtag/factchecking?src=hash&amp;ref_src=twsrc%5Etfw">#factchecking</a>... dans cet épisode <a href="https://twitter.com/alexcapron?ref_src=twsrc%5Etfw">@alexcapron</a> vous présente un outil de vérification vidéo gratuit utilisé par la rédaction des <a href="https://twitter.com/Observateurs?ref_src=twsrc%5Etfw">@Observateurs</a> de <a href="https://twitter.com/France24_fr?ref_src=twsrc%5Etfw">@France24_fr</a> : <a href="https://twitter.com/InVID_EU?ref_src=twsrc%5Etfw">@InVID_EU</a> <a href="https://t.co/TGEv7JVUau">pic.twitter.com/TGEv7JVUau</a></p>&mdash; Les Observateurs (@Observateurs) <a href="https://twitter.com/Observateurs/status/1056829241663225856?ref_src=twsrc%5Etfw">October 29, 2018</a></blockquote><script async src="https://platform.twitter.com/widgets.js" charset="utf-8"></script>	<blockquote class="twitter-tweet" data-lang="en"><p lang="fr" dir="ltr">INFO ✅ ou INTOX ❌ Vérifier une vidéo sur Facebook, c&#39;est l&#39;un des exercices le plus difficile du <a href="https://twitter.com/hashtag/factchecking?src=hash&amp;ref_src=twsrc%5Etfw">#factchecking</a>... dans cet épisode <a href="https://twitter.com/alexcapron?ref_src=twsrc%5Etfw">@alexcapron</a> vous présente un outil de vérification vidéo gratuit utilisé par la rédaction des <a href="https://twitter.com/Observateurs?ref_src=twsrc%5Etfw">@Observateurs</a> de <a href="https://twitter.com/France24_fr?ref_src=twsrc%5Etfw">@France24_fr</a> : <a href="https://twitter.com/InVID_EU?ref_src=twsrc%5Etfw">@InVID_EU</a> <a href="https://t.co/TGEv7JVUau">pic.twitter.com/TGEv7JVUau</a></p>&mdash; Les Observateurs (@Observateurs) <a href="https://twitter.com/Observateurs/status/1056829241663225856?ref_src=twsrc%5Etfw">October 29, 2018</a></blockquote><script async src="https://platform.twitter.com/widgets.js" charset="utf-8"></script>	<blockquote class="twitter-tweet" data-lang="en"><p lang="fr" dir="ltr">INFO ✅ ou INTOX ❌ Vérifier une vidéo sur Facebook, c&#39;est l&#39;un des exercices le plus difficile du <a href="https://twitter.com/hashtag/factchecking?src=hash&amp;ref_src=twsrc%5Etfw">#factchecking</a>... dans cet épisode <a href="https://twitter.com/alexcapron?ref_src=twsrc%5Etfw">@alexcapron</a> vous présente un outil de vérification vidéo gratuit utilisé par la rédaction des <a href="https://twitter.com/Observateurs?ref_src=twsrc%5Etfw">@Observateurs</a> de <a href="https://twitter.com/France24_fr?ref_src=twsrc%5Etfw">@France24_fr</a> : <a href="https://twitter.com/InVID_EU?ref_src=twsrc%5Etfw">@InVID_EU</a> <a href="https://t.co/TGEv7JVUau">pic.twitter.com/TGEv7JVUau</a></p>&mdash; Les Observateurs (@Observateurs) <a href="https://twitter.com/Observateurs/status/1056829241663225856?ref_src=twsrc%5Etfw">October 29, 2018</a></blockquote><script async src="https://platform.twitter.com/widgets.js" charset="utf-8"></script>
classroom_title_3			
classroom_embed_3			
classroom_title_4			
classroom_embed_4			
classroom_title_5			
classroom_embed_5			
api_help_video			
keyframes_help_video	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg
thumbnails_help_video	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg
twitter_help_video	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg
magnifier_help_video	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg
metadata_help_video	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg
copyright_help_video	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg	https://www.youtube.com/embed/kh7S2A6hPpg
